Volcano Number,Volcano Name,Eruption Number,Eruption Category,Start Year,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude,,,,,,,,
233005,Mayotte,22337,Confirmed Eruption,2018,7,3,2019,8,20,-12.83,45.17,,,,,,,,
353050,"Negra, Sierra",22279,Confirmed Eruption,2018,6,26,2018,8,23,-0.83,-91.17,,,,,,,,
344040,Telica,22277,Confirmed Eruption,2018,6,21,2018,8,15,12.606,-86.84,,,,,,,,
262000,Krakatau,22275,Confirmed Eruption,2018,6,18,2020,4,17,-6.102,105.423,,,,,,,,
353010,Fernandina,22278,Confirmed Eruption,2018,6,16,2018,6,21,-0.37,-91.55,,,,,,,,
311120,Great Sitkin,22276,Confirmed Eruption,2018,6,10,2018,8,11,52.076,-176.13,,,,,,,,
252120,Ulawun,22285,Confirmed Eruption,2018,6,8,2018,6,8,-5.05,151.33,,,,,,,,
263250,Merapi,22264,Confirmed Eruption,2018,5,11,2020,6,21,-7.54,110.446,,,,,,,,
300130,Karymsky,22265,Confirmed Eruption,2018,4,28,2018,9,30,54.049,159.443,,,,,,,,
261140,Marapi,22262,Confirmed Eruption,2018,4,27,2018,5,2,-0.38,100.474,,,,,,,,
344020,San Cristobal,22266,Confirmed Eruption,2018,4,22,2018,4,22,12.702,-87.004,,,,,,,,
261170,Kerinci,22274,Confirmed Eruption,2018,4,21,2021,6,13,-1.697,101.264,,,,,,,,
223020,Nyamulagira,22315,Confirmed Eruption,2018,4,18,2021,12,9,-1.408,29.2,,,,,,,,
233020,"Fournaise, Piton de la",22261,Confirmed Eruption,2018,4,3,2018,11,1,-21.244,55.708,,,,,,,,
263200,Dieng Volcanic Complex,22263,Confirmed Eruption,2018,4,1,2018,4,1,-7.2,109.879,,,,,,,,
282090,Kirishimayama,22257,Confirmed Eruption,2018,3,1,2018,6,27,31.934,130.862,,,,,,,,
352090,Sangay,22259,Confirmed Eruption,2018,2,25,2018,2,25,-2.005,-78.341,,,,,,,,
267020,Karangetang,22256,Confirmed Eruption,2018,2,2,2018,2,2,2.781,125.407,,,,,,,,
283120,Kusatsu-Shiranesan,22258,Confirmed Eruption,2018,1,23,2018,1,23,36.618,138.528,,,,,,,,
343100,San Miguel,22251,Confirmed Eruption,2018,1,14,2018,5,30,13.434,-88.269,,,,,,,,
273030,Mayon,22250,Confirmed Eruption,2018,1,13,2019,10,12,13.257,123.685,,,,,,,,
251002,Kadovar,22246,Confirmed Eruption,2018,1,5,2021,12,9,-3.608,144.588,,,,,,,,
272020,Kanlaon,22249,Confirmed Eruption,2017,12,9,2017,12,9,10.412,123.132,,,,,,,,
264020,Agung,22241,Confirmed Eruption,2017,11,21,2019,6,13,-8.343,115.508,,,,,,,,
261230,Dempo,22248,Confirmed Eruption,2017,11,9,2017,11,9,-4.016,103.121,,,,,,,,
256010,Tinakula,22239,Confirmed Eruption,2017,10,21,2017,10,26,-10.386,165.804,,,,,,,,
290240,Sarychev Peak,22308,Confirmed Eruption,2017,10,12,2017,11,13,48.092,153.2,,,,,,,,
282090,Kirishimayama,22242,Confirmed Eruption,2017,10,11,2017,10,17,31.934,130.862,,,,,,,,
257030,Ambae,22240,Confirmed Eruption,2017,9,6,2018,10,30,-15.389,167.835,,,,,,,,
353010,Fernandina,22245,Confirmed Eruption,2017,9,4,2017,9,7,-0.37,-91.55,,,,,,,,
344020,San Cristobal,22252,Confirmed Eruption,2017,8,18,2017,11,11,12.702,-87.004,,,,,,,,
261170,Kerinci,22273,Confirmed Eruption,2017,8,13,2017,8,13,-1.697,101.264,,,,,,,,
352090,Sangay,22231,Confirmed Eruption,2017,7,20,2017,10,26,-2.005,-78.341,,,,,,,,
264050,Sangeang Api,22228,Confirmed Eruption,2017,7,15,2020,6,10,-8.2,119.07,,,,,,,,
233020,"Fournaise, Piton de la",22224,Confirmed Eruption,2017,7,14,2017,8,28,-21.244,55.708,,,,,,,,
252120,Ulawun,22225,Confirmed Eruption,2017,6,11,2017,11,3,-5.05,151.33,,,,,,,,
273010,Bulusan,22229,Confirmed Eruption,2017,6,5,2017,6,5,12.769,124.056,,,,,,,,
261140,Marapi,22226,Confirmed Eruption,2017,6,4,2017,6,4,-0.38,100.474,,,,,,,,
300130,Karymsky,22230,Confirmed Eruption,2017,6,4,2018,1,27,54.049,159.443,,,,,,,,
357090,Copahue,22232,Confirmed Eruption,2017,6,4,2018,12,7,-37.856,-71.183,,,,,,,,
345020,Rincon de la Vieja,22208,Confirmed Eruption,2017,5,23,2018,3,15,10.83,-85.324,,,,,,,,
263200,Dieng Volcanic Complex,22227,Confirmed Eruption,2017,4,30,2017,7,2,-7.2,109.879,,,,,,,,
284096,Nishinoshima,22207,Confirmed Eruption,2017,4,18,2017,8,17,27.247,140.874,,,,,,,,
345040,Poas,22209,Confirmed Eruption,2017,4,12,2017,11,6,10.2,-84.233,,,,,,,,
222120,"Lengai, Ol Doinyo",22284,Confirmed Eruption,2017,4,9,2021,12,9,-2.764,35.914,,,,,,,,
360160,Kick 'em Jenny,22260,Confirmed Eruption,2017,3,29,2017,3,29,12.3,-61.64,,,,,,,,
282080,Aira,22203,Confirmed Eruption,2017,3,25,2021,12,9,31.593,130.657,,,,,,,,
300010,Kambalny,22198,Confirmed Eruption,2017,3,24,2017,4,10,51.306,156.875,,,,,,,,
262000,Krakatau,22188,Confirmed Eruption,2017,2,19,2017,2,19,-6.102,105.423,,,,,,,,
344020,San Cristobal,22269,Confirmed Eruption,2017,2,18,2017,4,19,12.702,-87.004,,,,,,,,
233020,"Fournaise, Piton de la",22184,Confirmed Eruption,2017,1,31,2017,2,27,-21.244,55.708,,,,,,,,
243030,Unnamed,22185,Confirmed Eruption,2017,1,23,2017,1,31,-20.852,-175.55,,,,,,,,
260010,Barren Island,22187,Confirmed Eruption,2017,1,15,2017,5,16,12.278,93.858,,,,,,,,
343100,San Miguel,22192,Confirmed Eruption,2017,1,7,2017,1,7,13.434,-88.269,,,,,,,,
311300,Bogoslof,22182,Confirmed Eruption,2016,12,20,2017,8,30,53.93,-168.03,,,,,,,,
290260,Chirinkotan,22175,Confirmed Eruption,2016,11,29,2017,4,7,48.98,153.48,,,,,,,,
223020,Nyamulagira,22202,Confirmed Eruption,2016,11,27,2017,5,2,-1.408,29.2,,,,,,,,
300120,Zhupanovsky,22177,Confirmed Eruption,2016,11,20,2016,11,20,53.589,159.15,,,,,,,,
261170,Kerinci,22172,Confirmed Eruption,2016,11,15,2016,11,21,-1.697,101.264,,,,,,,,
354006,Sabancaya,22158,Confirmed Eruption,2016,11,6,2021,12,9,-15.787,-71.857,,,,,,,,
290380,Ebeko,22176,Confirmed Eruption,2016,10,20,2021,11,9,50.686,156.014,,,,,,,,
252120,Ulawun,22171,Confirmed Eruption,2016,10,11,2016,11,18,-5.05,151.33,,,,,,,,
282110,Asosan,22174,Confirmed Eruption,2016,10,7,2016,11,12,32.884,131.104,,,,,,,,
300130,Karymsky,22178,Confirmed Eruption,2016,10,5,2016,10,8,54.049,159.443,,,,,,,,
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,2016,9,21,2016,10,13,-2.764,35.914,,,,,,,,
241040,Whakaari/White Island,22147,Confirmed Eruption,2016,9,13,2016,9,13,-37.52,177.18,,,,,,,,
354020,Ubinas,22181,Confirmed Eruption,2016,9,13,2017,3,2,-16.355,-70.903,,,,,,,,
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,2016,9,11,2016,9,18,-21.244,55.708,,,,,,,,
268060,Gamalama,22150,Confirmed Eruption,2016,8,3,2016,8,4,0.8,127.33,,,,,,,,
264030,Rinjani,22149,Confirmed Eruption,2016,8,1,2016,9,27,-8.42,116.47,,,,,,,,
